City,cases,current,well,death
ַבֽדהֹ,96,5,91,0
״ָּׁב,94,0,93,1
ַבדַֽהם,92,1,91,0
ַבדז׃ד,91,5,86,0
ַבÚזםÞםבֹ,86,7,79,0
ÚÞבֹ ַבױÞזׁ,84,4,80,0
ֽׂד ַבּבַדםֿ,82,0,82,0
ַבוַֿ,77,0,77,0
דׁßׂ ֽֿזֿ ַבֽֿםֹֻ,71,1,70,0
Ýׁ׃ַה,65,3,61,1
ַבֽׁםÞ,63,5,58,0
ֿזדֹ ַבּהֿב,62,0,61,1
ּֿםֹֿ ÚׁÚׁ,57,0,57,0
Ùבד,56,1,55,0
ֽÞב,51,2,49,0
דַׁÊ,46,3,43,0
ַב־ַױֹׁ,39,3,36,0
ַב׀םָםֹ,39,1,38,0
ַֻׁ,39,0,39,0
ַבֻֽׁ,36,1,31,4
הÝם,26,3,23,0
׃דםֱַׁ,25,1,24,0
ֻזב,22,1,21,0
ַב׃בםדם,22,4,18,0
װזַÞ,22,2,20,0
׃םוַÊ,14,0,14,0
ַבױÝםׁם,14,0,14,0
ַבÛַ״,11,1,10,0
דםÞזÚ,8,0,8,0
ַבַָֽֿה,8,0,8,0
ַבׁÞÚם,7,0,7,0
ַב׃Úםֹׁ,7,2,5,0
ַָז Úׁזֹ,6,0,6,0
ָֿׁ,6,2,4,0
ױזםׁ,6,0,6,0
׃ַדזֹֿ,3,1,2,0
ַב׃בםדַהםֹ,1,0,1,0
ַֽֿֿ ָהם דַבß,1,0,1,0
ֽׁײ,1,0,1,0
